Color_Preference,Body_Type,Gender,Age_Group,Weather,Occasion,Style_Preference,Budget_Range,Fabric_Preference,Fit_Preference,Intent
Dark,Hourglass,Male,Adult (26-35),Cold & Windy,Party/Night Out,Streetwear,Budget (<₹1000),Synthetic/Polyester,Relaxed,Find color match
Earthy,Rectangle,Male,Teen (13-17),Hot & Sunny,Party/Night Out,Classic/Preppy,Budget (<₹1000),Wool/Knit,Oversized,Layering tips
Pastel,Rectangle,Non-binary,Adult (26-35),Hot & Sunny,Formal Event,Glamorous,Premium (₹5000-₹15000),Silk/Satin,Oversized,Weather-appropriate outfit
Multicolor,Apple,Male,Teen (13-17),Mild/Pleasant,Office/Work,Vintage,Premium (₹5000-₹15000),Wool/Knit,Regular Fit,Get outfit recommendation
Dark,Rectangle,Non-binary,Teen (13-17),Mild/Pleasant,Office/Work,Sporty,Premium (₹5000-₹15000),Wool/Knit,Oversized,Find color match
Neutral,Petite,Male,Adult (26-35),Hot & Sunny,Party/Night Out,Bohemian,Luxury (₹15000+),Silk/Satin,Tailored,Accessory suggestion
Pastel,Apple,Female,Young Adult (18-25),Snowy,Wedding Guest,Bohemian,Mid-range (₹1000-₹5000),Wool/Knit,Oversized,Style advice for body type
Monochrome,Rectangle,Female,Senior (51+),Cold & Windy,Date Night,Minimalist,Mid-range (₹1000-₹5000),No preference,Slim Fit,Accessory suggestion
Monochrome,Apple,Male,Young Adult (18-25),Humid,Date Night,Classic/Preppy,Luxury (₹15000+),Linen,Tailored,Style advice for body type
Bold/Bright,Pear,Male,Senior (51+),Humid,Wedding Guest,Glamorous,Luxury (₹15000+),Silk/Satin,Oversized,Style advice for body type
Earthy,Rectangle,Male,Teen (13-17),Hot & Sunny,Formal Event,Streetwear,Luxury (₹15000+),Wool/Knit,Slim Fit,Layering tips
Monochrome,Inverted Triangle,Female,Senior (51+),Rainy,Festival,Minimalist,Budget (<₹1000),Synthetic/Polyester,Relaxed,Occasion-specific look
Multicolor,Petite,Female,Teen (13-17),Rainy,Sports/Gym,Streetwear,Luxury (₹15000+),Cotton,Regular Fit,Style advice for body type
Earthy,Hourglass,Non-binary,Adult (26-35),Snowy,Festival,Classic/Preppy,Mid-range (₹1000-₹5000),Silk/Satin,Oversized,Get outfit recommendation
Earthy,Apple,Female,Teen (13-17),Hot & Sunny,Date Night,Sporty,Mid-range (₹1000-₹5000),Cotton,Oversized,Find color match
Neutral,Petite,Female,Teen (13-17),Humid,Formal Event,Streetwear,Luxury (₹15000+),Wool/Knit,Oversized,Occasion-specific look
Earthy,Plus-size,Non-binary,Mid Adult (36-50),Cold & Windy,Festival,Classic/Preppy,Premium (₹5000-₹15000),Linen,Regular Fit,Fabric suggestion
Earthy,Rectangle,Male,Young Adult (18-25),Cold & Windy,Office/Work,Vintage,Budget (<₹1000),Wool/Knit,Relaxed,Weather-appropriate outfit
Earthy,Pear,Male,Teen (13-17),Snowy,Casual Outing,Classic/Preppy,Budget (<₹1000),Cotton,Regular Fit,Find color match
Earthy,Pear,Female,Mid Adult (36-50),Cold & Windy,Festival,Streetwear,Luxury (₹15000+),Denim,Tailored,Layering tips
Pastel,Hourglass,Male,Mid Adult (36-50),Rainy,Sports/Gym,Glamorous,Luxury (₹15000+),No preference,Slim Fit,Find color match
Neutral,Rectangle,Non-binary,Adult (26-35),Hot & Sunny,Party/Night Out,Classic/Preppy,Mid-range (₹1000-₹5000),Wool/Knit,Tailored,Style advice for body type
Monochrome,Pear,Female,Mid Adult (36-50),Cold & Windy,Office/Work,Business Casual,Budget (<₹1000),Cotton,Relaxed,Get outfit recommendation
Neutral,Plus-size,Male,Young Adult (18-25),Mild/Pleasant,Beach/Vacation,Business Casual,Mid-range (₹1000-₹5000),No preference,Tailored,Get outfit recommendation
Pastel,Rectangle,Male,Mid Adult (36-50),Rainy,Beach/Vacation,Sporty,Luxury (₹15000+),Synthetic/Polyester,Relaxed,Fabric suggestion
Pastel,Pear,Female,Young Adult (18-25),Hot & Sunny,Job Interview,Minimalist,Premium (₹5000-₹15000),Cotton,Slim Fit,Fabric suggestion
Earthy,Plus-size,Non-binary,Young Adult (18-25),Hot & Sunny,Festival,Bohemian,Mid-range (₹1000-₹5000),Cotton,Relaxed,Find color match
Dark,Plus-size,Male,Mid Adult (36-50),Hot & Sunny,Job Interview,Classic/Preppy,Budget (<₹1000),Wool/Knit,Slim Fit,Layering tips
Dark,Inverted Triangle,Non-binary,Senior (51+),Rainy,Wedding Guest,Classic/Preppy,Premium (₹5000-₹15000),Denim,Regular Fit,Layering tips
Pastel,Petite,Non-binary,Adult (26-35),Mild/Pleasant,Date Night,Bohemian,Budget (<₹1000),Linen,Relaxed,Find color match
Neutral,Inverted Triangle,Male,Senior (51+),Rainy,Formal Event,Vintage,Budget (<₹1000),Denim,Regular Fit,Occasion-specific look
Pastel,Rectangle,Non-binary,Adult (26-35),Humid,Festival,Minimalist,Premium (₹5000-₹15000),Synthetic/Polyester,Slim Fit,Style advice for body type
Bold/Bright,Hourglass,Male,Senior (51+),Cold & Windy,Wedding Guest,Sporty,Mid-range (₹1000-₹5000),Synthetic/Polyester,Regular Fit,Weather-appropriate outfit
Dark,Petite,Female,Senior (51+),Mild/Pleasant,Wedding Guest,Minimalist,Budget (<₹1000),Synthetic/Polyester,Tailored,Occasion-specific look
Neutral,Hourglass,Female,Young Adult (18-25),Snowy,Wedding Guest,Streetwear,Luxury (₹15000+),Wool/Knit,Tailored,Get outfit recommendation
Neutral,Hourglass,Non-binary,Young Adult (18-25),Humid,Casual Outing,Vintage,Mid-range (₹1000-₹5000),Linen,Oversized,Get outfit recommendation
Bold/Bright,Apple,Male,Adult (26-35),Cold & Windy,Party/Night Out,Bohemian,Premium (₹5000-₹15000),No preference,Relaxed,Layering tips
Earthy,Petite,Male,Young Adult (18-25),Cold & Windy,Formal Event,Glamorous,Budget (<₹1000),Denim,Regular Fit,Layering tips
Multicolor,Petite,Non-binary,Young Adult (18-25),Rainy,Formal Event,Bohemian,Luxury (₹15000+),No preference,Slim Fit,Fabric suggestion
Pastel,Pear,Female,Adult (26-35),Rainy,Party/Night Out,Classic/Preppy,Budget (<₹1000),Synthetic/Polyester,Oversized,Layering tips
Bold/Bright,Apple,Male,Adult (26-35),Rainy,Festival,Glamorous,Premium (₹5000-₹15000),Cotton,Slim Fit,Occasion-specific look
Pastel,Inverted Triangle,Female,Teen (13-17),Hot & Sunny,Job Interview,Glamorous,Premium (₹5000-₹15000),Synthetic/Polyester,Regular Fit,Layering tips
Earthy,Inverted Triangle,Male,Mid Adult (36-50),Humid,Party/Night Out,Sporty,Budget (<₹1000),Synthetic/Polyester,Tailored,Get outfit recommendation
Earthy,Plus-size,Non-binary,Young Adult (18-25),Rainy,Sports/Gym,Bohemian,Premium (₹5000-₹15000),Wool/Knit,Regular Fit,Find color match
Dark,Apple,Non-binary,Adult (26-35),Snowy,Sports/Gym,Vintage,Luxury (₹15000+),Synthetic/Polyester,Regular Fit,Style advice for body type
Pastel,Rectangle,Non-binary,Mid Adult (36-50),Snowy,Formal Event,Sporty,Luxury (₹15000+),Wool/Knit,Slim Fit,Occasion-specific look
Bold/Bright,Pear,Female,Senior (51+),Humid,Date Night,Business Casual,Luxury (₹15000+),Linen,Oversized,Fabric suggestion
Multicolor,Plus-size,Non-binary,Young Adult (18-25),Snowy,Office/Work,Sporty,Premium (₹5000-₹15000),Cotton,Oversized,Occasion-specific look
Pastel,Plus-size,Male,Young Adult (18-25),Hot & Sunny,Casual Outing,Classic/Preppy,Luxury (₹15000+),Wool/Knit,Slim Fit,Fabric suggestion
Monochrome,Petite,Non-binary,Young Adult (18-25),Snowy,Sports/Gym,Business Casual,Luxury (₹15000+),Denim,Oversized,Get outfit recommendation
Multicolor,Plus-size,Male,Mid Adult (36-50),Cold & Windy,Formal Event,Business Casual,Budget (<₹1000),Wool/Knit,Oversized,Find color match
Monochrome,Pear,Female,Senior (51+),Humid,Job Interview,Vintage,Luxury (₹15000+),Wool/Knit,Relaxed,Layering tips
Multicolor,Inverted Triangle,Female,Young Adult (18-25),Snowy,Beach/Vacation,Business Casual,Premium (₹5000-₹15000),No preference,Oversized,Occasion-specific look
Multicolor,Plus-size,Non-binary,Mid Adult (36-50),Snowy,Party/Night Out,Sporty,Luxury (₹15000+),Cotton,Regular Fit,Weather-appropriate outfit
Bold/Bright,Apple,Female,Senior (51+),Hot & Sunny,Formal Event,Streetwear,Mid-range (₹1000-₹5000),Linen,Oversized,Weather-appropriate outfit
Neutral,Rectangle,Female,Adult (26-35),Humid,Beach/Vacation,Glamorous,Budget (<₹1000),Denim,Tailored,Layering tips
Multicolor,Inverted Triangle,Non-binary,Teen (13-17),Humid,Sports/Gym,Business Casual,Budget (<₹1000),Silk/Satin,Regular Fit,Layering tips
Multicolor,Plus-size,Female,Senior (51+),Snowy,Festival,Classic/Preppy,Luxury (₹15000+),Denim,Regular Fit,Layering tips
Monochrome,Hourglass,Female,Adult (26-35),Snowy,Sports/Gym,Streetwear,Luxury (₹15000+),Denim,Relaxed,Get outfit recommendation
Monochrome,Inverted Triangle,Non-binary,Teen (13-17),Hot & Sunny,Sports/Gym,Streetwear,Luxury (₹15000+),Denim,Slim Fit,Occasion-specific look
Monochrome,Apple,Male,Mid Adult (36-50),Rainy,Date Night,Glamorous,Premium (₹5000-₹15000),No preference,Tailored,Occasion-specific look
